DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 06:07:47 2020, 10.61,57.13,1006.02,35.68,6.5,3.67, 
Tue Apr 21 06:09:27 2020, 10.61,57.12,1006.0,35.67,6.5,72.44, 
Tue Apr 21 06:11:08 2020, 10.6,57.11,1006.04,35.65,6.5,9.36, 
Tue Apr 21 06:12:50 2020, 10.61,57.09,1006.05,35.6,6.5,121.13, 
Tue Apr 21 06:14:31 2020, 10.61,57.08,1006.07,35.58,6.5,26.07, 
Tue Apr 21 06:16:12 2020, 10.61,57.06,1006.07,35.54,6.5,32.17, 
Tue Apr 21 06:17:53 2020, 10.61,57.06,1006.07,35.54,6.5,28.4, 
Tue Apr 21 06:19:34 2020, 10.6,57.08,1006.07,35.58,6.5,18.64, 
Tue Apr 21 06:21:15 2020, 10.6,57.13,1006.07,35.7,6.5,109.43, 
Tue Apr 21 06:22:56 2020, 10.6,57.1,1006.09,35.64,6.5,22.31, 
Tue Apr 21 06:24:37 2020, 10.6,57.12,1006.11,35.67,6.5,66.32, 
Tue Apr 21 06:26:18 2020, 10.6,57.13,1006.11,35.7,6.5,114.15, 
Tue Apr 21 06:28:00 2020, 10.61,57.1,1006.13,35.64,6.5,140.09, 
Tue Apr 21 06:29:41 2020, 10.62,57.09,1006.15,35.6,6.5,90.77, 
Tue Apr 21 06:31:22 2020, 10.62,57.14,1006.09,35.71,6.5,31.47, 
Tue Apr 21 06:33:04 2020, 10.63,57.15,1006.13,35.73,6.5,123.76, 
Tue Apr 21 06:34:45 2020, 10.64,57.12,1006.13,35.67,6.5,1.99, 
Tue Apr 21 06:36:26 2020, 10.65,57.14,1006.15,35.71,6.5,138.72, 
Tue Apr 21 06:38:07 2020, 10.67,57.07,1006.15,35.57,6.5,3.84, 
Tue Apr 21 06:39:48 2020, 10.68,57.03,1006.19,35.49,6.5,90.26, 
Tue Apr 21 06:41:30 2020, 10.7,57.08,1006.17,35.58,6.5,21.59, 
Tue Apr 21 06:43:11 2020, 10.71,57.08,1006.13,35.59,6.5,94.36, 
Tue Apr 21 06:44:52 2020, 10.72,57.11,1006.17,35.64,6.5,49.91, 
Tue Apr 21 06:46:33 2020, 10.73,57.09,1006.19,35.61,6.5,8.23, 
Tue Apr 21 06:48:14 2020, 10.74,57.12,1006.27,35.67,6.5,46.32, 
Tue Apr 21 06:49:56 2020, 10.76,57.1,1006.25,35.63,6.5,131.03, 
Tue Apr 21 06:51:37 2020, 10.77,57.13,1006.25,35.69,6.5,31.13, 
Tue Apr 21 06:53:18 2020, 10.78,57.17,1006.29,35.78,6.5,58.12, 
Tue Apr 21 06:55:00 2020, 10.79,57.14,1006.27,35.71,6.5,141.05, 
Tue Apr 21 06:56:41 2020, 10.79,57.17,1006.27,35.78,6.5,0.62, 
Tue Apr 21 06:58:22 2020, 10.81,57.2,1006.35,35.83,6.5,96.71, 
Tue Apr 21 07:00:03 2020, 10.81,57.18,1006.35,35.8,6.5,66.87, 
Tue Apr 21 07:01:44 2020, 10.83,57.26,1006.35,35.95,6.5,22.23, 
Tue Apr 21 07:03:25 2020, 10.83,57.27,1006.37,35.98,6.5,0.62, 
Tue Apr 21 07:05:06 2020, 10.85,57.3,1006.33,36.04,6.5,143.61, 
Tue Apr 21 07:06:47 2020, 10.86,57.31,1006.35,36.07,6.5,111.19, 
Tue Apr 21 07:08:28 2020, 10.88,57.35,1006.29,36.15,6.5,24.02, 
Tue Apr 21 07:10:09 2020, 10.89,57.29,1006.31,36.03,6.5,54.93, 
Tue Apr 21 07:11:51 2020, 10.9,57.34,1006.33,36.13,6.5,57.93, 
Tue Apr 21 07:13:32 2020, 10.91,57.34,1006.35,36.12,6.5,5.06, 
Tue Apr 21 07:15:13 2020, 10.92,57.38,1006.35,36.21,6.5,0.62, 
Tue Apr 21 07:16:53 2020, 10.94,57.4,1006.37,36.26,6.5,42.82, 
Tue Apr 21 07:18:35 2020, 10.96,57.44,1006.43,36.32,6.5,69.64, 
Tue Apr 21 07:20:16 2020, 10.97,57.39,1006.43,36.24,6.5,20.58, 
Tue Apr 21 07:21:56 2020, 10.98,57.36,1006.47,36.17,6.5,151.5, 
Tue Apr 21 07:23:38 2020, 11.0,57.47,1006.47,36.4,6.5,109.14, 
Tue Apr 21 07:25:19 2020, 11.02,57.36,1006.49,36.17,6.5,55.09, 
Tue Apr 21 07:27:00 2020, 11.04,57.38,1006.47,36.22,6.5,78.5, 
Tue Apr 21 07:28:42 2020, 11.06,57.39,1006.47,36.23,6.5,23.63, 
Tue Apr 21 07:30:23 2020, 11.07,57.38,1006.49,36.2,6.5,2.53, 
Tue Apr 21 07:32:04 2020, 11.09,57.45,1006.52,36.36,6.5,26.27, 
Tue Apr 21 07:33:45 2020, 11.11,57.5,1006.54,36.47,6.5,126.22, 
Tue Apr 21 07:35:27 2020, 11.14,57.45,1006.54,36.36,6.5,94.19, 
Tue Apr 21 07:37:09 2020, 11.15,57.4,1006.51,36.24,6.5,42.54, 
Tue Apr 21 07:38:50 2020, 11.17,57.34,1006.52,36.12,6.5,29.96, 
Tue Apr 21 07:40:32 2020, 11.19,57.24,1006.56,35.91,6.5,33.77, 
Tue Apr 21 07:42:13 2020, 11.22,57.16,1006.52,35.76,6.5,105.1, 
Tue Apr 21 07:43:55 2020, 11.24,57.03,1006.56,35.49,6.5,37.73, 
Tue Apr 21 07:45:36 2020, 11.26,57.11,1006.56,35.65,6.5,68.09, 
Tue Apr 21 07:47:18 2020, 11.29,57.21,1006.56,35.85,6.5,33.63, 
Tue Apr 21 07:48:59 2020, 11.31,57.24,1006.54,35.91,6.5,119.06, 
Tue Apr 21 07:50:41 2020, 11.35,57.15,1006.56,35.72,6.5,32.78, 
Tue Apr 21 07:52:22 2020, 11.38,56.9,1006.56,35.21,6.5,22.44, 
Tue Apr 21 07:54:04 2020, 11.41,56.69,1006.54,34.76,6.5,65.3, 
Tue Apr 21 07:55:45 2020, 11.44,56.82,1006.52,35.04,6.5,148.76, 
Tue Apr 21 07:57:27 2020, 11.47,56.72,1006.47,34.84,6.5,152.38, 
Tue Apr 21 07:59:09 2020, 11.5,56.79,1006.51,34.99,6.5,0.62, 
Tue Apr 21 08:00:50 2020, 11.53,56.62,1006.54,34.62,6.5,146.08, 
Tue Apr 21 08:02:32 2020, 11.85,57.31,1006.51,36.07,6.5,107.29, 
Tue Apr 21 08:04:13 2020, 11.96,57.09,1006.52,35.61,6.5,89.78, 
Tue Apr 21 08:05:54 2020, 12.02,56.99,1006.47,35.39,6.5,90.22, 
Tue Apr 21 08:07:36 2020, 12.19,57.52,1006.54,36.49,6.5,44.14, 
Tue Apr 21 08:09:17 2020, 12.37,57.8,1006.54,37.09,6.5,43.3, 
Tue Apr 21 08:10:59 2020, 12.5,57.93,1006.52,37.35,6.5,96.13, 
Tue Apr 21 08:12:40 2020, 12.59,57.56,1006.52,36.59,6.5,77.39, 
Tue Apr 21 08:14:22 2020, 12.69,57.62,1006.56,36.71,6.5,55.15, 
Tue Apr 21 08:16:04 2020, 12.76,57.15,1006.54,35.74,6.5,20.87, 
Tue Apr 21 08:17:45 2020, 12.86,57.01,1006.51,35.45,6.5,56.57, 
Tue Apr 21 08:19:26 2020, 12.95,56.97,1006.51,35.36,6.5,28.12, 
Tue Apr 21 08:21:08 2020, 13.06,56.69,1006.52,34.77,6.5,5.78, 
Tue Apr 21 08:22:49 2020, 13.17,56.45,1006.54,34.28,6.5,138.73, 
Tue Apr 21 08:24:30 2020, 13.28,56.58,1006.49,34.55,6.5,63.66, 
Tue Apr 21 08:26:11 2020, 13.4,56.48,1006.54,34.34,6.5,88.01, 
Tue Apr 21 08:27:52 2020, 13.46,56.25,1006.51,33.85,6.5,113.63, 
Tue Apr 21 08:29:34 2020, 13.55,56.21,1006.54,33.76,6.5,133.43, 
Tue Apr 21 08:31:15 2020, 13.62,55.93,1006.51,33.18,6.5,106.78, 
Tue Apr 21 08:32:57 2020, 13.7,56.19,1006.58,33.73,6.5,153.33, 
Tue Apr 21 08:34:38 2020, 13.81,56.03,1006.54,33.41,6.5,77.11, 
Tue Apr 21 08:36:20 2020, 13.95,56.16,1006.49,33.66,6.5,107.93, 
Tue Apr 21 08:38:02 2020, 14.05,55.71,1006.51,32.74,6.5,143.06, 
Tue Apr 21 08:39:43 2020, 14.06,55.24,1006.51,31.75,6.5,148.97, 
Tue Apr 21 08:41:24 2020, 14.06,55.26,1006.49,31.79,6.5,1.34, 
Tue Apr 21 08:43:05 2020, 14.08,55.22,1006.45,31.71,6.5,92.42, 
Tue Apr 21 08:44:46 2020, 14.14,55.12,1006.49,31.5,6.5,61.88, 
Tue Apr 21 08:46:27 2020, 14.2,55.06,1006.47,31.38,6.5,120.26, 
Tue Apr 21 08:48:08 2020, 14.27,54.8,1006.52,30.83,6.5,14.84, 
Tue Apr 21 08:49:49 2020, 14.33,54.72,1006.47,30.68,6.5,43.62, 
