DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust 
Tue Apr 21 07:56:11 2020, 20.03,57.37,1007.23,36.19,6.5,112.67, 
Tue Apr 21 07:57:53 2020, 20.09,57.17,1007.23,35.77,6.5,102.09, 
Tue Apr 21 07:59:34 2020, 20.18,57.03,1007.27,35.47,6.5,6.78, 
Tue Apr 21 08:01:16 2020, 20.23,56.71,1007.21,34.81,6.5,109.91, 
Tue Apr 21 08:02:57 2020, 20.27,56.53,1007.19,34.43,6.5,70.23, 
Tue Apr 21 08:04:39 2020, 20.27,56.19,1007.23,33.72,6.5,18.87, 
Tue Apr 21 08:06:20 2020, 20.32,56.24,1007.19,33.83,6.5,42.63, 
Tue Apr 21 08:08:02 2020, 20.35,55.91,1007.21,33.15,6.5,10.67, 
Tue Apr 21 08:09:43 2020, 20.41,56.1,1007.19,33.55,6.5,0.62, 
Tue Apr 21 08:11:25 2020, 20.36,55.58,1007.21,32.45,6.5,76.27, 
Tue Apr 21 08:13:06 2020, 20.37,56.32,1007.15,34.0,6.5,104.8, 
Tue Apr 21 08:14:48 2020, 20.35,56.69,1007.15,34.77,6.5,0.62, 
Tue Apr 21 08:16:29 2020, 20.34,56.9,1007.17,35.21,6.5,0.62, 
Tue Apr 21 08:18:11 2020, 20.35,56.88,1007.09,35.16,6.5,88.8, 
Tue Apr 21 08:19:52 2020, 20.38,56.54,1007.09,34.46,6.5,0.62, 
Tue Apr 21 08:21:33 2020, 20.37,56.16,1007.09,33.66,6.5,0.62, 
Tue Apr 21 08:23:14 2020, 20.39,55.77,1007.09,32.86,6.5,1.89, 
Tue Apr 21 08:24:56 2020, 20.42,55.63,1007.11,32.56,6.5,0.62, 
Tue Apr 21 08:26:37 2020, 20.48,55.67,1007.13,32.65,6.5,0.62, 
Tue Apr 21 08:28:18 2020, 20.47,55.65,1007.05,32.61,6.5,0.62, 
Tue Apr 21 08:29:59 2020, 20.46,55.59,1007.11,32.48,6.5,22.47, 
Tue Apr 21 08:31:41 2020, 20.47,55.55,1007.13,32.4,6.5,112.0, 
Tue Apr 21 08:33:23 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:35:04 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:36:46 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:38:27 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:40:09 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:41:49 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:43:30 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:45:11 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:46:53 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:48:33 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:50:15 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:51:56 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:53:37 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:55:19 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:57:00 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 08:58:42 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 09:00:23 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 09:02:04 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 09:03:46 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 09:05:27 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 09:07:09 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 09:08:50 2020, 12.75,54.41,1007.17,261.08,6.5,88.32, 
Tue Apr 21 09:10:32 2020, 12.82,54.95,1007.21,82.89,6.5,101.37, 
Tue Apr 21 09:12:14 2020, 12.73,55.34,1007.15,31.96,6.5,63.21, 
Tue Apr 21 09:13:55 2020, 12.55,54.78,1007.23,30.8,6.5,99.39, 
Tue Apr 21 09:15:37 2020, 12.53,55.36,1007.25,31.99,6.5,77.9, 
Tue Apr 21 09:17:19 2020, 12.96,56.06,1007.32,33.45,6.5,102.67, 
Tue Apr 21 09:19:00 2020, 13.03,55.49,1007.34,32.27,6.5,48.61, 
Tue Apr 21 09:20:42 2020, 12.84,55.46,1007.27,32.2,6.5,73.76, 
Tue Apr 21 09:22:24 2020, 13.08,55.32,1007.25,31.91,6.5,44.4, 
Tue Apr 21 09:24:05 2020, 13.0,56.14,1007.31,33.63,6.5,97.76, 
Tue Apr 21 09:25:47 2020, 12.87,55.62,1007.32,32.55,6.5,34.08, 
Tue Apr 21 09:27:29 2020, 13.11,56.91,1007.36,35.22,6.5,17.84, 
Tue Apr 21 09:29:10 2020, 12.97,58.45,1007.29,38.43,6.5,24.01, 
Tue Apr 21 09:30:52 2020, 12.96,58.05,1007.23,37.6,6.5,76.86, 
Tue Apr 21 09:32:34 2020, 12.8,56.84,1007.32,35.09,6.5,59.12, 
Tue Apr 21 09:34:16 2020, 12.99,56.85,1007.25,35.1,6.5,51.79, 
Tue Apr 21 09:35:57 2020, 13.05,55.56,1007.21,32.43,6.5,74.54, 
Tue Apr 21 09:37:39 2020, 13.16,57.38,1007.23,36.21,6.5,69.73, 
Tue Apr 21 09:39:21 2020, 13.19,57.91,1007.21,37.3,6.5,93.73, 
Tue Apr 21 09:41:02 2020, 13.0,57.86,1007.15,37.21,6.5,34.95, 
Tue Apr 21 09:42:44 2020, 13.2,58.22,1007.25,37.95,6.5,16.93, 
Tue Apr 21 09:44:26 2020, 12.8,58.02,1007.23,37.55,6.5,64.61, 
Tue Apr 21 09:46:08 2020, 13.0,58.79,1007.32,39.15,6.5,29.78, 
Tue Apr 21 09:47:49 2020, 13.14,59.42,1007.27,415.45,6.5,99.24, 
Tue Apr 21 09:49:31 2020, 15.24,65.24,1007.05,52.59,6.5,0.62, 
Tue Apr 21 09:51:12 2020, 17.13,68.54,1007.21,59.46,6.5,18.99, 
Tue Apr 21 09:52:54 2020, 14.22,54.11,1007.17,29.39,6.5,30.86, 
Tue Apr 21 09:54:35 2020, 12.79,60.16,1007.21,42.01,6.5,13.55, 
Tue Apr 21 09:56:17 2020, 12.65,59.92,1007.03,41.51,6.5,32.0, 
Tue Apr 21 09:57:59 2020, 12.79,60.12,1007.27,41.92,6.5,134.22, 
Tue Apr 21 09:59:40 2020, 12.45,59.54,1007.21,40.72,6.5,10.44, 
Tue Apr 21 10:01:22 2020, 12.6,60.6,1007.13,42.91,6.5,138.1, 
Tue Apr 21 10:03:04 2020, 12.66,60.63,1007.15,42.99,6.5,11.74, 
Tue Apr 21 10:04:45 2020, 12.77,60.27,1007.17,42.23,6.5,2.07, 
Tue Apr 21 10:06:27 2020, 12.5,59.9,1007.15,41.46,6.5,139.5, 
Tue Apr 21 10:08:09 2020, 12.78,61.32,1007.21,44.41,6.5,126.19, 
Tue Apr 21 10:09:51 2020, 12.55,60.9,1007.09,43.53,6.5,23.14, 
Tue Apr 21 10:11:32 2020, 12.39,61.41,1007.15,44.61,6.5,148.18, 
Tue Apr 21 10:13:14 2020, 12.75,62.12,1007.27,46.08,6.5,24.04, 
Tue Apr 21 10:14:55 2020, 12.84,61.73,1007.13,45.27,6.5,118.74, 
Tue Apr 21 10:16:37 2020, 12.78,60.62,1007.09,42.97,6.5,3.78, 
Tue Apr 21 10:18:19 2020, 12.38,59.91,1007.13,41.48,6.5,42.84, 
Tue Apr 21 10:20:00 2020, 12.24,59.96,1007.19,41.59,6.5,39.44, 
Tue Apr 21 10:21:41 2020, 12.5,61.45,1007.21,44.68,6.5,25.74, 
Tue Apr 21 10:23:23 2020, 12.35,60.49,1007.34,42.68,6.5,153.7, 
Tue Apr 21 10:25:05 2020, 12.57,60.85,1007.21,43.43,6.5,23.71, 
Tue Apr 21 10:26:47 2020, 12.68,61.18,1007.17,44.13,6.5,108.18, 
